START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
04/06/16,07:05 PM,07:05 PM,Cardinals at Pirates,PNC Park - Pittsburgh,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",04/06/16,04/06/16,10:05 PM,10:05 PM,FALSE,TRUE,04/06/16,06:05 PM,06:05 PM,FREE,BUSY
04/08/16,07:10 PM,07:10 PM,Pirates at Reds,Great American Ball Park - Cincinnati,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",04/08/16,04/08/16,10:10 PM,10:10 PM,FALSE,TRUE,04/08/16,06:10 PM,06:10 PM,FREE,BUSY
04/09/16,01:10 PM,01:10 PM,Pirates at Reds,Great American Ball Park - Cincinnati,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",04/09/16,04/09/16,04:10 PM,04:10 PM,FALSE,TRUE,04/09/16,12:10 PM,12:10 PM,FREE,BUSY
04/10/16,01:10 PM,01:10 PM,Pirates at Reds,Great American Ball Park - Cincinnati,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",04/10/16,04/10/16,04:10 PM,04:10 PM,FALSE,TRUE,04/10/16,12:10 PM,12:10 PM,FREE,BUSY
04/11/16,01:10 PM,01:10 PM,Pirates at Tigers,Comerica Park - Detroit,"Local TV: ROOT SPORTS- MLBN ----- Local Radio: KDKA-FM 93.7",04/11/16,04/11/16,04:10 PM,04:10 PM,FALSE,TRUE,04/11/16,12:10 PM,12:10 PM,FREE,BUSY
04/12/16,01:10 PM,01:10 PM,Pirates at Tigers,Comerica Park - Detroit,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",04/12/16,04/12/16,04:10 PM,04:10 PM,FALSE,TRUE,04/12/16,12:10 PM,12:10 PM,FREE,BUSY
04/13/16,07:05 PM,07:05 PM,Tigers at Pirates,PNC Park - Pittsburgh,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",04/13/16,04/13/16,10:05 PM,10:05 PM,FALSE,TRUE,04/13/16,06:05 PM,06:05 PM,FREE,BUSY
04/14/16,12:35 PM,12:35 PM,Tigers at Pirates,PNC Park - Pittsburgh,"Local TV: ROOT SPORTS- MLBN ----- Local Radio: KDKA-FM 93.7",04/14/16,04/14/16,03:35 PM,03:35 PM,FALSE,TRUE,04/14/16,11:35 AM,11:35 AM,FREE,BUSY
04/15/16,07:05 PM,07:05 PM,Brewers at Pirates,PNC Park - Pittsburgh,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",04/15/16,04/15/16,10:05 PM,10:05 PM,FALSE,TRUE,04/15/16,06:05 PM,06:05 PM,FREE,BUSY
04/16/16,07:05 PM,07:05 PM,Brewers at Pirates,PNC Park - Pittsburgh,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",04/16/16,04/16/16,10:05 PM,10:05 PM,FALSE,TRUE,04/16/16,06:05 PM,06:05 PM,FREE,BUSY
04/17/16,01:35 PM,01:35 PM,Brewers at Pirates,PNC Park - Pittsburgh,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",04/17/16,04/17/16,04:35 PM,04:35 PM,FALSE,TRUE,04/17/16,12:35 PM,12:35 PM,FREE,BUSY
04/19/16,10:10 PM,10:10 PM,Pirates at Padres,Petco Park - San Diego,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",04/20/16,04/20/16,01:10 AM,01:10 AM,FALSE,TRUE,04/19/16,09:10 PM,09:10 PM,FREE,BUSY
04/20/16,10:10 PM,10:10 PM,Pirates at Padres,Petco Park - San Diego,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",04/21/16,04/21/16,01:10 AM,01:10 AM,FALSE,TRUE,04/20/16,09:10 PM,09:10 PM,FREE,BUSY
04/21/16,09:10 PM,09:10 PM,Pirates at Padres,Petco Park - San Diego,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",04/22/16,04/22/16,12:10 AM,12:10 AM,FALSE,TRUE,04/21/16,08:10 PM,08:10 PM,FREE,BUSY
04/22/16,09:40 PM,09:40 PM,Pirates at D-backs,Chase Field - Phoenix,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",04/23/16,04/23/16,12:40 AM,12:40 AM,FALSE,TRUE,04/22/16,08:40 PM,08:40 PM,FREE,BUSY
04/23/16,08:10 PM,08:10 PM,Pirates at D-backs,Chase Field - Phoenix,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",04/23/16,04/23/16,11:10 PM,11:10 PM,FALSE,TRUE,04/23/16,07:10 PM,07:10 PM,FREE,BUSY
04/24/16,04:10 PM,04:10 PM,Pirates at D-backs,Chase Field - Phoenix,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",04/24/16,04/24/16,07:10 PM,07:10 PM,FALSE,TRUE,04/24/16,03:10 PM,03:10 PM,FREE,BUSY
04/25/16,08:40 PM,08:40 PM,Pirates at Rockies,Coors Field - Denver,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",04/25/16,04/25/16,11:40 PM,11:40 PM,FALSE,TRUE,04/25/16,07:40 PM,07:40 PM,FREE,BUSY
04/26/16,08:40 PM,08:40 PM,Pirates at Rockies,Coors Field - Denver,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",04/26/16,04/26/16,11:40 PM,11:40 PM,FALSE,TRUE,04/26/16,07:40 PM,07:40 PM,FREE,BUSY
04/27/16,08:40 PM,08:40 PM,Pirates at Rockies,Coors Field - Denver,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",04/27/16,04/27/16,11:40 PM,11:40 PM,FALSE,TRUE,04/27/16,07:40 PM,07:40 PM,FREE,BUSY
04/28/16,03:10 PM,03:10 PM,Pirates at Rockies,Coors Field - Denver,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",04/28/16,04/28/16,06:10 PM,06:10 PM,FALSE,TRUE,04/28/16,02:10 PM,02:10 PM,FREE,BUSY
04/29/16,07:05 PM,07:05 PM,Reds at Pirates,PNC Park - Pittsburgh,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",04/29/16,04/29/16,10:05 PM,10:05 PM,FALSE,TRUE,04/29/16,06:05 PM,06:05 PM,FREE,BUSY
04/30/16,07:05 PM,07:05 PM,Reds at Pirates,PNC Park - Pittsburgh,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",04/30/16,04/30/16,10:05 PM,10:05 PM,FALSE,TRUE,04/30/16,06:05 PM,06:05 PM,FREE,BUSY
05/01/16,01:35 PM,01:35 PM,Reds at Pirates,PNC Park - Pittsburgh,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",05/01/16,05/01/16,04:35 PM,04:35 PM,FALSE,TRUE,05/01/16,12:35 PM,12:35 PM,FREE,BUSY
05/02/16,07:05 PM,07:05 PM,Cubs at Pirates,PNC Park - Pittsburgh,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",05/02/16,05/02/16,10:05 PM,10:05 PM,FALSE,TRUE,05/02/16,06:05 PM,06:05 PM,FREE,BUSY
05/03/16,07:05 PM,07:05 PM,Cubs at Pirates,PNC Park - Pittsburgh,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",05/03/16,05/03/16,10:05 PM,10:05 PM,FALSE,TRUE,05/03/16,06:05 PM,06:05 PM,FREE,BUSY
05/04/16,12:35 PM,12:35 PM,Cubs at Pirates,PNC Park - Pittsburgh,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",05/04/16,05/04/16,03:35 PM,03:35 PM,FALSE,TRUE,05/04/16,11:35 AM,11:35 AM,FREE,BUSY
05/06/16,08:15 PM,08:15 PM,Pirates at Cardinals,Busch Stadium - St. Louis,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",05/06/16,05/06/16,11:15 PM,11:15 PM,FALSE,TRUE,05/06/16,07:15 PM,07:15 PM,FREE,BUSY
05/07/16,02:15 PM,02:15 PM,Pirates at Cardinals,Busch Stadium - St. Louis,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",05/07/16,05/07/16,05:15 PM,05:15 PM,FALSE,TRUE,05/07/16,01:15 PM,01:15 PM,FREE,BUSY
05/08/16,02:15 PM,02:15 PM,Pirates at Cardinals,Busch Stadium - St. Louis,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",05/08/16,05/08/16,05:15 PM,05:15 PM,FALSE,TRUE,05/08/16,01:15 PM,01:15 PM,FREE,BUSY
05/09/16,07:10 PM,07:10 PM,Pirates at Reds,Great American Ball Park - Cincinnati,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",05/09/16,05/09/16,10:10 PM,10:10 PM,FALSE,TRUE,05/09/16,06:10 PM,06:10 PM,FREE,BUSY
05/10/16,07:10 PM,07:10 PM,Pirates at Reds,Great American Ball Park - Cincinnati,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",05/10/16,05/10/16,10:10 PM,10:10 PM,FALSE,TRUE,05/10/16,06:10 PM,06:10 PM,FREE,BUSY
05/11/16,07:10 PM,07:10 PM,Pirates at Reds,Great American Ball Park - Cincinnati,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",05/11/16,05/11/16,10:10 PM,10:10 PM,FALSE,TRUE,05/11/16,06:10 PM,06:10 PM,FREE,BUSY
05/13/16,02:20 PM,02:20 PM,Pirates at Cubs,Wrigley Field - Chicago,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",05/13/16,05/13/16,05:20 PM,05:20 PM,FALSE,TRUE,05/13/16,01:20 PM,01:20 PM,FREE,BUSY
05/14/16,02:20 PM,02:20 PM,Pirates at Cubs,Wrigley Field - Chicago,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",05/14/16,05/14/16,05:20 PM,05:20 PM,FALSE,TRUE,05/14/16,01:20 PM,01:20 PM,FREE,BUSY
05/15/16,02:20 PM,02:20 PM,Pirates at Cubs,Wrigley Field - Chicago,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",05/15/16,05/15/16,05:20 PM,05:20 PM,FALSE,TRUE,05/15/16,01:20 PM,01:20 PM,FREE,BUSY
05/16/16,07:05 PM,07:05 PM,Braves at Pirates,PNC Park - Pittsburgh,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",05/16/16,05/16/16,10:05 PM,10:05 PM,FALSE,TRUE,05/16/16,06:05 PM,06:05 PM,FREE,BUSY
05/17/16,07:05 PM,07:05 PM,Braves at Pirates,PNC Park - Pittsburgh,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",05/17/16,05/17/16,10:05 PM,10:05 PM,FALSE,TRUE,05/17/16,06:05 PM,06:05 PM,FREE,BUSY
05/18/16,07:05 PM,07:05 PM,Braves at Pirates,PNC Park - Pittsburgh,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",05/18/16,05/18/16,10:05 PM,10:05 PM,FALSE,TRUE,05/18/16,06:05 PM,06:05 PM,FREE,BUSY
05/19/16,07:05 PM,07:05 PM,Braves at Pirates,PNC Park - Pittsburgh,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",05/19/16,05/19/16,10:05 PM,10:05 PM,FALSE,TRUE,05/19/16,06:05 PM,06:05 PM,FREE,BUSY
05/20/16,07:05 PM,07:05 PM,Rockies at Pirates,PNC Park - Pittsburgh,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",05/20/16,05/20/16,10:05 PM,10:05 PM,FALSE,TRUE,05/20/16,06:05 PM,06:05 PM,FREE,BUSY
05/21/16,04:05 PM,04:05 PM,Rockies at Pirates,PNC Park - Pittsburgh,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",05/21/16,05/21/16,07:05 PM,07:05 PM,FALSE,TRUE,05/21/16,03:05 PM,03:05 PM,FREE,BUSY
05/22/16,01:35 PM,01:35 PM,Rockies at Pirates,PNC Park - Pittsburgh,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",05/22/16,05/22/16,04:35 PM,04:35 PM,FALSE,TRUE,05/22/16,12:35 PM,12:35 PM,FREE,BUSY
05/24/16,07:05 PM,07:05 PM,D-backs at Pirates,PNC Park - Pittsburgh,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",05/24/16,05/24/16,10:05 PM,10:05 PM,FALSE,TRUE,05/24/16,06:05 PM,06:05 PM,FREE,BUSY
05/25/16,07:05 PM,07:05 PM,D-backs at Pirates,PNC Park - Pittsburgh,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",05/25/16,05/25/16,10:05 PM,10:05 PM,FALSE,TRUE,05/25/16,06:05 PM,06:05 PM,FREE,BUSY
05/26/16,12:35 PM,12:35 PM,D-backs at Pirates,PNC Park - Pittsburgh,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",05/26/16,05/26/16,03:35 PM,03:35 PM,FALSE,TRUE,05/26/16,11:35 AM,11:35 AM,FREE,BUSY
05/27/16,08:05 PM,08:05 PM,Pirates at Rangers,Globe Life Park in Arlington - Arlington,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",05/27/16,05/27/16,11:05 PM,11:05 PM,FALSE,TRUE,05/27/16,07:05 PM,07:05 PM,FREE,BUSY
05/28/16,07:15 PM,07:15 PM,Pirates at Rangers,Globe Life Park in Arlington - Arlington,"Local TV: FOX ----- Local Radio: KDKA-FM 93.7",05/28/16,05/28/16,10:15 PM,10:15 PM,FALSE,TRUE,05/28/16,06:15 PM,06:15 PM,FREE,BUSY
05/29/16,03:05 PM,03:05 PM,Pirates at Rangers,Globe Life Park in Arlington - Arlington,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",05/29/16,05/29/16,06:05 PM,06:05 PM,FALSE,TRUE,05/29/16,02:05 PM,02:05 PM,FREE,BUSY
06/01/16,07:10 PM,07:10 PM,Pirates at Marlins,Marlins Park - Miami,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",06/01/16,06/01/16,10:10 PM,10:10 PM,FALSE,TRUE,06/01/16,06:10 PM,06:10 PM,FREE,BUSY
06/02/16,07:10 PM,07:10 PM,Pirates at Marlins,Marlins Park - Miami,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",06/02/16,06/02/16,10:10 PM,10:10 PM,FALSE,TRUE,06/02/16,06:10 PM,06:10 PM,FREE,BUSY
06/03/16,07:05 PM,07:05 PM,Angels at Pirates,PNC Park - Pittsburgh,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",06/03/16,06/03/16,10:05 PM,10:05 PM,FALSE,TRUE,06/03/16,06:05 PM,06:05 PM,FREE,BUSY
06/04/16,04:05 PM,04:05 PM,Angels at Pirates,PNC Park - Pittsburgh,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",06/04/16,06/04/16,07:05 PM,07:05 PM,FALSE,TRUE,06/04/16,03:05 PM,03:05 PM,FREE,BUSY
06/05/16,01:35 PM,01:35 PM,Angels at Pirates,PNC Park - Pittsburgh,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",06/05/16,06/05/16,04:35 PM,04:35 PM,FALSE,TRUE,06/05/16,12:35 PM,12:35 PM,FREE,BUSY
06/06/16,07:05 PM,07:05 PM,Mets at Pirates,PNC Park - Pittsburgh,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",06/06/16,06/06/16,10:05 PM,10:05 PM,FALSE,TRUE,06/06/16,06:05 PM,06:05 PM,FREE,BUSY
06/07/16,07:05 PM,07:05 PM,Mets at Pirates,PNC Park - Pittsburgh,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",06/07/16,06/07/16,10:05 PM,10:05 PM,FALSE,TRUE,06/07/16,06:05 PM,06:05 PM,FREE,BUSY
06/08/16,07:05 PM,07:05 PM,Mets at Pirates,PNC Park - Pittsburgh,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",06/08/16,06/08/16,10:05 PM,10:05 PM,FALSE,TRUE,06/08/16,06:05 PM,06:05 PM,FREE,BUSY
06/10/16,07:05 PM,07:05 PM,Cardinals at Pirates,PNC Park - Pittsburgh,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",06/10/16,06/10/16,10:05 PM,10:05 PM,FALSE,TRUE,06/10/16,06:05 PM,06:05 PM,FREE,BUSY
06/11/16,07:15 PM,07:15 PM,Cardinals at Pirates,PNC Park - Pittsburgh,"Local TV: FOX ----- Local Radio: KDKA-FM 93.7",06/11/16,06/11/16,10:15 PM,10:15 PM,FALSE,TRUE,06/11/16,06:15 PM,06:15 PM,FREE,BUSY
