START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
08/29/14,07:05 PM,07:05 PM,Reds at Pirates,PNC Park,,08/29/14,08/29/14,10:05 PM,10:05 PM,FALSE,TRUE,08/29/14,06:05 PM,06:05 PM,FREE,BUSY
08/30/14,04:05 PM,04:05 PM,Reds at Pirates,PNC Park,,08/30/14,08/30/14,07:05 PM,07:05 PM,FALSE,TRUE,08/30/14,03:05 PM,03:05 PM,FREE,BUSY
08/31/14,01:35 PM,01:35 PM,Reds at Pirates,PNC Park,,08/31/14,08/31/14,04:35 PM,04:35 PM,FALSE,TRUE,08/31/14,12:35 PM,12:35 PM,FREE,BUSY
09/01/14,02:15 PM,02:15 PM,Pirates at Cardinals,Busch Stadium,,09/01/14,09/01/14,05:15 PM,05:15 PM,FALSE,TRUE,09/01/14,01:15 PM,01:15 PM,FREE,BUSY
09/02/14,08:15 PM,08:15 PM,Pirates at Cardinals,Busch Stadium,,09/02/14,09/02/14,11:15 PM,11:15 PM,FALSE,TRUE,09/02/14,07:15 PM,07:15 PM,FREE,BUSY
09/03/14,01:45 PM,01:45 PM,Pirates at Cardinals,Busch Stadium,,09/03/14,09/03/14,04:45 PM,04:45 PM,FALSE,TRUE,09/03/14,12:45 PM,12:45 PM,FREE,BUSY
09/05/14,02:20 PM,02:20 PM,Pirates at Cubs,Wrigley Field,,09/05/14,09/05/14,05:20 PM,05:20 PM,FALSE,TRUE,09/05/14,01:20 PM,01:20 PM,FREE,BUSY
09/06/14,04:05 PM,04:05 PM,Pirates at Cubs,Wrigley Field,,09/06/14,09/06/14,07:05 PM,07:05 PM,FALSE,TRUE,09/06/14,03:05 PM,03:05 PM,FREE,BUSY
09/07/14,02:20 PM,02:20 PM,Pirates at Cubs,Wrigley Field,,09/07/14,09/07/14,05:20 PM,05:20 PM,FALSE,TRUE,09/07/14,01:20 PM,01:20 PM,FREE,BUSY
09/08/14,07:05 PM,07:05 PM,Pirates at Phillies,Citizens Bank Park,,09/08/14,09/08/14,10:05 PM,10:05 PM,FALSE,TRUE,09/08/14,06:05 PM,06:05 PM,FREE,BUSY
09/09/14,07:05 PM,07:05 PM,Pirates at Phillies,Citizens Bank Park,,09/09/14,09/09/14,10:05 PM,10:05 PM,FALSE,TRUE,09/09/14,06:05 PM,06:05 PM,FREE,BUSY
09/10/14,07:05 PM,07:05 PM,Pirates at Phillies,Citizens Bank Park,,09/10/14,09/10/14,10:05 PM,10:05 PM,FALSE,TRUE,09/10/14,06:05 PM,06:05 PM,FREE,BUSY
09/11/14,07:05 PM,07:05 PM,Pirates at Phillies,Citizens Bank Park,,09/11/14,09/11/14,10:05 PM,10:05 PM,FALSE,TRUE,09/11/14,06:05 PM,06:05 PM,FREE,BUSY
09/12/14,07:05 PM,07:05 PM,Cubs at Pirates,PNC Park,,09/12/14,09/12/14,10:05 PM,10:05 PM,FALSE,TRUE,09/12/14,06:05 PM,06:05 PM,FREE,BUSY
09/13/14,07:05 PM,07:05 PM,Cubs at Pirates,PNC Park,,09/13/14,09/13/14,10:05 PM,10:05 PM,FALSE,TRUE,09/13/14,06:05 PM,06:05 PM,FREE,BUSY
09/14/14,01:35 PM,01:35 PM,Cubs at Pirates,PNC Park,,09/14/14,09/14/14,04:35 PM,04:35 PM,FALSE,TRUE,09/14/14,12:35 PM,12:35 PM,FREE,BUSY
09/16/14,07:05 PM,07:05 PM,Red Sox at Pirates,PNC Park,,09/16/14,09/16/14,10:05 PM,10:05 PM,FALSE,TRUE,09/16/14,06:05 PM,06:05 PM,FREE,BUSY
09/17/14,07:05 PM,07:05 PM,Red Sox at Pirates,PNC Park,,09/17/14,09/17/14,10:05 PM,10:05 PM,FALSE,TRUE,09/17/14,06:05 PM,06:05 PM,FREE,BUSY
09/18/14,07:05 PM,07:05 PM,Red Sox at Pirates,PNC Park,,09/18/14,09/18/14,10:05 PM,10:05 PM,FALSE,TRUE,09/18/14,06:05 PM,06:05 PM,FREE,BUSY
09/19/14,07:05 PM,07:05 PM,Brewers at Pirates,PNC Park,,09/19/14,09/19/14,10:05 PM,10:05 PM,FALSE,TRUE,09/19/14,06:05 PM,06:05 PM,FREE,BUSY
09/20/14,07:05 PM,07:05 PM,Brewers at Pirates,PNC Park,,09/20/14,09/20/14,10:05 PM,10:05 PM,FALSE,TRUE,09/20/14,06:05 PM,06:05 PM,FREE,BUSY
09/21/14,01:35 PM,01:35 PM,Brewers at Pirates,PNC Park,,09/21/14,09/21/14,04:35 PM,04:35 PM,FALSE,TRUE,09/21/14,12:35 PM,12:35 PM,FREE,BUSY
09/22/14,07:10 PM,07:10 PM,Pirates at Braves,Turner Field,,09/22/14,09/22/14,10:10 PM,10:10 PM,FALSE,TRUE,09/22/14,06:10 PM,06:10 PM,FREE,BUSY
09/23/14,07:10 PM,07:10 PM,Pirates at Braves,Turner Field,,09/23/14,09/23/14,10:10 PM,10:10 PM,FALSE,TRUE,09/23/14,06:10 PM,06:10 PM,FREE,BUSY
09/24/14,07:10 PM,07:10 PM,Pirates at Braves,Turner Field,,09/24/14,09/24/14,10:10 PM,10:10 PM,FALSE,TRUE,09/24/14,06:10 PM,06:10 PM,FREE,BUSY
09/25/14,07:10 PM,07:10 PM,Pirates at Braves,Turner Field,,09/25/14,09/25/14,10:10 PM,10:10 PM,FALSE,TRUE,09/25/14,06:10 PM,06:10 PM,FREE,BUSY
09/26/14,07:10 PM,07:10 PM,Pirates at Reds,Great American Ball Park,,09/26/14,09/26/14,10:10 PM,10:10 PM,FALSE,TRUE,09/26/14,06:10 PM,06:10 PM,FREE,BUSY
09/27/14,04:10 PM,04:10 PM,Pirates at Reds,Great American Ball Park,,09/27/14,09/27/14,07:10 PM,07:10 PM,FALSE,TRUE,09/27/14,03:10 PM,03:10 PM,FREE,BUSY
09/28/14,01:10 PM,01:10 PM,Pirates at Reds,Great American Ball Park,,09/28/14,09/28/14,04:10 PM,04:10 PM,FALSE,TRUE,09/28/14,12:10 PM,12:10 PM,FREE,BUSY
