START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
03/31/14,01:10 PM,02:10 PM,Braves at Brewers,Miller Park,,03/31/14,03/31/14,04:10 PM,05:10 PM,FALSE,TRUE,03/31/14,12:10 PM,01:10 PM,FREE,BUSY
04/01/14,07:10 PM,08:10 PM,Braves at Brewers,Miller Park,,04/01/14,04/01/14,10:10 PM,11:10 PM,FALSE,TRUE,04/01/14,06:10 PM,07:10 PM,FREE,BUSY
04/02/14,12:10 PM,01:10 PM,Braves at Brewers,Miller Park,,04/02/14,04/02/14,03:10 PM,04:10 PM,FALSE,TRUE,04/02/14,11:10 AM,12:10 PM,FREE,BUSY
04/04/14,01:05 PM,02:05 PM,Brewers at Red Sox,Fenway Park,,04/04/14,04/04/14,04:05 PM,05:05 PM,FALSE,TRUE,04/04/14,12:05 PM,01:05 PM,FREE,BUSY
04/05/14,06:10 PM,07:10 PM,Brewers at Red Sox,Fenway Park,,04/05/14,04/05/14,09:10 PM,10:10 PM,FALSE,TRUE,04/05/14,05:10 PM,06:10 PM,FREE,BUSY
04/06/14,12:35 PM,01:35 PM,Brewers at Red Sox,Fenway Park,,04/06/14,04/06/14,03:35 PM,04:35 PM,FALSE,TRUE,04/06/14,11:35 AM,12:35 PM,FREE,BUSY
04/07/14,02:05 PM,03:05 PM,Brewers at Phillies,Citizens Bank Park,,04/07/14,04/07/14,05:05 PM,06:05 PM,FALSE,TRUE,04/07/14,01:05 PM,02:05 PM,FREE,BUSY
04/09/14,06:05 PM,07:05 PM,Brewers at Phillies,Citizens Bank Park,,04/09/14,04/09/14,09:05 PM,10:05 PM,FALSE,TRUE,04/09/14,05:05 PM,06:05 PM,FREE,BUSY
04/10/14,06:05 PM,07:05 PM,Brewers at Phillies,Citizens Bank Park,,04/10/14,04/10/14,09:05 PM,10:05 PM,FALSE,TRUE,04/10/14,05:05 PM,06:05 PM,FREE,BUSY
04/11/14,07:10 PM,08:10 PM,Pirates at Brewers,Miller Park,,04/11/14,04/11/14,10:10 PM,11:10 PM,FALSE,TRUE,04/11/14,06:10 PM,07:10 PM,FREE,BUSY
04/12/14,06:10 PM,07:10 PM,Pirates at Brewers,Miller Park,,04/12/14,04/12/14,09:10 PM,10:10 PM,FALSE,TRUE,04/12/14,05:10 PM,06:10 PM,FREE,BUSY
04/13/14,01:10 PM,02:10 PM,Pirates at Brewers,Miller Park,,04/13/14,04/13/14,04:10 PM,05:10 PM,FALSE,TRUE,04/13/14,12:10 PM,01:10 PM,FREE,BUSY
04/14/14,07:10 PM,08:10 PM,Cardinals at Brewers,Miller Park,,04/14/14,04/14/14,10:10 PM,11:10 PM,FALSE,TRUE,04/14/14,06:10 PM,07:10 PM,FREE,BUSY
04/15/14,07:10 PM,08:10 PM,Cardinals at Brewers,Miller Park,,04/15/14,04/15/14,10:10 PM,11:10 PM,FALSE,TRUE,04/15/14,06:10 PM,07:10 PM,FREE,BUSY
04/16/14,12:10 PM,01:10 PM,Cardinals at Brewers,Miller Park,,04/16/14,04/16/14,03:10 PM,04:10 PM,FALSE,TRUE,04/16/14,11:10 AM,12:10 PM,FREE,BUSY
04/17/14,06:05 PM,07:05 PM,Brewers at Pirates,PNC Park,,04/17/14,04/17/14,09:05 PM,10:05 PM,FALSE,TRUE,04/17/14,05:05 PM,06:05 PM,FREE,BUSY
04/18/14,06:05 PM,07:05 PM,Brewers at Pirates,PNC Park,,04/18/14,04/18/14,09:05 PM,10:05 PM,FALSE,TRUE,04/18/14,05:05 PM,06:05 PM,FREE,BUSY
04/19/14,06:05 PM,07:05 PM,Brewers at Pirates,PNC Park,,04/19/14,04/19/14,09:05 PM,10:05 PM,FALSE,TRUE,04/19/14,05:05 PM,06:05 PM,FREE,BUSY
04/20/14,12:35 PM,01:35 PM,Brewers at Pirates,PNC Park,,04/20/14,04/20/14,03:35 PM,04:35 PM,FALSE,TRUE,04/20/14,11:35 AM,12:35 PM,FREE,BUSY
04/21/14,07:10 PM,08:10 PM,Padres at Brewers,Miller Park,,04/21/14,04/21/14,10:10 PM,11:10 PM,FALSE,TRUE,04/21/14,06:10 PM,07:10 PM,FREE,BUSY
04/22/14,07:10 PM,08:10 PM,Padres at Brewers,Miller Park,,04/22/14,04/22/14,10:10 PM,11:10 PM,FALSE,TRUE,04/22/14,06:10 PM,07:10 PM,FREE,BUSY
04/23/14,07:10 PM,08:10 PM,Padres at Brewers,Miller Park,,04/23/14,04/23/14,10:10 PM,11:10 PM,FALSE,TRUE,04/23/14,06:10 PM,07:10 PM,FREE,BUSY
04/25/14,07:10 PM,08:10 PM,Cubs at Brewers,Miller Park,,04/25/14,04/25/14,10:10 PM,11:10 PM,FALSE,TRUE,04/25/14,06:10 PM,07:10 PM,FREE,BUSY
04/26/14,06:10 PM,07:10 PM,Cubs at Brewers,Miller Park,,04/26/14,04/26/14,09:10 PM,10:10 PM,FALSE,TRUE,04/26/14,05:10 PM,06:10 PM,FREE,BUSY
04/27/14,01:10 PM,02:10 PM,Cubs at Brewers,Miller Park,,04/27/14,04/27/14,04:10 PM,05:10 PM,FALSE,TRUE,04/27/14,12:10 PM,01:10 PM,FREE,BUSY
04/28/14,07:15 PM,08:15 PM,Brewers at Cardinals,Busch Stadium,,04/28/14,04/28/14,10:15 PM,11:15 PM,FALSE,TRUE,04/28/14,06:15 PM,07:15 PM,FREE,BUSY
04/29/14,07:15 PM,08:15 PM,Brewers at Cardinals,Busch Stadium,,04/29/14,04/29/14,10:15 PM,11:15 PM,FALSE,TRUE,04/29/14,06:15 PM,07:15 PM,FREE,BUSY
04/30/14,12:45 PM,01:45 PM,Brewers at Cardinals,Busch Stadium,,04/30/14,04/30/14,03:45 PM,04:45 PM,FALSE,TRUE,04/30/14,11:45 AM,12:45 PM,FREE,BUSY
05/01/14,06:10 PM,07:10 PM,Brewers at Reds,Great American Ball Park,,05/01/14,05/01/14,09:10 PM,10:10 PM,FALSE,TRUE,05/01/14,05:10 PM,06:10 PM,FREE,BUSY
05/02/14,06:10 PM,07:10 PM,Brewers at Reds,Great American Ball Park,,05/02/14,05/02/14,09:10 PM,10:10 PM,FALSE,TRUE,05/02/14,05:10 PM,06:10 PM,FREE,BUSY
05/03/14,06:10 PM,07:10 PM,Brewers at Reds,Great American Ball Park,,05/03/14,05/03/14,09:10 PM,10:10 PM,FALSE,TRUE,05/03/14,05:10 PM,06:10 PM,FREE,BUSY
05/04/14,03:10 PM,04:10 PM,Brewers at Reds,Great American Ball Park,,05/04/14,05/04/14,06:10 PM,07:10 PM,FALSE,TRUE,05/04/14,02:10 PM,03:10 PM,FREE,BUSY
05/05/14,07:10 PM,08:10 PM,D-backs at Brewers,Miller Park,,05/05/14,05/05/14,10:10 PM,11:10 PM,FALSE,TRUE,05/05/14,06:10 PM,07:10 PM,FREE,BUSY
05/06/14,07:10 PM,08:10 PM,D-backs at Brewers,Miller Park,,05/06/14,05/06/14,10:10 PM,11:10 PM,FALSE,TRUE,05/06/14,06:10 PM,07:10 PM,FREE,BUSY
05/07/14,12:10 PM,01:10 PM,D-backs at Brewers,Miller Park,,05/07/14,05/07/14,03:10 PM,04:10 PM,FALSE,TRUE,05/07/14,11:10 AM,12:10 PM,FREE,BUSY
05/09/14,07:10 PM,08:10 PM,Yankees at Brewers,Miller Park,,05/09/14,05/09/14,10:10 PM,11:10 PM,FALSE,TRUE,05/09/14,06:10 PM,07:10 PM,FREE,BUSY
05/10/14,06:10 PM,07:10 PM,Yankees at Brewers,Miller Park,,05/10/14,05/10/14,09:10 PM,10:10 PM,FALSE,TRUE,05/10/14,05:10 PM,06:10 PM,FREE,BUSY
05/11/14,01:10 PM,02:10 PM,Yankees at Brewers,Miller Park,,05/11/14,05/11/14,04:10 PM,05:10 PM,FALSE,TRUE,05/11/14,12:10 PM,01:10 PM,FREE,BUSY
05/13/14,07:10 PM,08:10 PM,Pirates at Brewers,Miller Park,,05/13/14,05/13/14,10:10 PM,11:10 PM,FALSE,TRUE,05/13/14,06:10 PM,07:10 PM,FREE,BUSY
05/14/14,07:10 PM,08:10 PM,Pirates at Brewers,Miller Park,,05/14/14,05/14/14,10:10 PM,11:10 PM,FALSE,TRUE,05/14/14,06:10 PM,07:10 PM,FREE,BUSY
05/15/14,12:10 PM,01:10 PM,Pirates at Brewers,Miller Park,,05/15/14,05/15/14,03:10 PM,04:10 PM,FALSE,TRUE,05/15/14,11:10 AM,12:10 PM,FREE,BUSY
05/16/14,01:20 PM,02:20 PM,Brewers at Cubs,Wrigley Field,,05/16/14,05/16/14,04:20 PM,05:20 PM,FALSE,TRUE,05/16/14,12:20 PM,01:20 PM,FREE,BUSY
05/17/14,01:20 PM,02:20 PM,Brewers at Cubs,Wrigley Field,,05/17/14,05/17/14,04:20 PM,05:20 PM,FALSE,TRUE,05/17/14,12:20 PM,01:20 PM,FREE,BUSY
05/18/14,01:20 PM,02:20 PM,Brewers at Cubs,Wrigley Field,,05/18/14,05/18/14,04:20 PM,05:20 PM,FALSE,TRUE,05/18/14,12:20 PM,01:20 PM,FREE,BUSY
05/19/14,06:10 PM,07:10 PM,Brewers at Braves,Turner Field,,05/19/14,05/19/14,09:10 PM,10:10 PM,FALSE,TRUE,05/19/14,05:10 PM,06:10 PM,FREE,BUSY
05/20/14,06:10 PM,07:10 PM,Brewers at Braves,Turner Field,,05/20/14,05/20/14,09:10 PM,10:10 PM,FALSE,TRUE,05/20/14,05:10 PM,06:10 PM,FREE,BUSY
05/21/14,06:10 PM,07:10 PM,Brewers at Braves,Turner Field,,05/21/14,05/21/14,09:10 PM,10:10 PM,FALSE,TRUE,05/21/14,05:10 PM,06:10 PM,FREE,BUSY
05/22/14,06:10 PM,07:10 PM,Brewers at Braves,Turner Field,,05/22/14,05/22/14,09:10 PM,10:10 PM,FALSE,TRUE,05/22/14,05:10 PM,06:10 PM,FREE,BUSY
05/23/14,06:10 PM,07:10 PM,Brewers at Marlins,Marlins Park,,05/23/14,05/23/14,09:10 PM,10:10 PM,FALSE,TRUE,05/23/14,05:10 PM,06:10 PM,FREE,BUSY
05/24/14,03:10 PM,04:10 PM,Brewers at Marlins,Marlins Park,,05/24/14,05/24/14,06:10 PM,07:10 PM,FALSE,TRUE,05/24/14,02:10 PM,03:10 PM,FREE,BUSY
05/25/14,12:10 PM,01:10 PM,Brewers at Marlins,Marlins Park,,05/25/14,05/25/14,03:10 PM,04:10 PM,FALSE,TRUE,05/25/14,11:10 AM,12:10 PM,FREE,BUSY
05/26/14,01:10 PM,02:10 PM,Orioles at Brewers,Miller Park,,05/26/14,05/26/14,04:10 PM,05:10 PM,FALSE,TRUE,05/26/14,12:10 PM,01:10 PM,FREE,BUSY
05/27/14,07:10 PM,08:10 PM,Orioles at Brewers,Miller Park,,05/27/14,05/27/14,10:10 PM,11:10 PM,FALSE,TRUE,05/27/14,06:10 PM,07:10 PM,FREE,BUSY
05/28/14,07:10 PM,08:10 PM,Orioles at Brewers,Miller Park,,05/28/14,05/28/14,10:10 PM,11:10 PM,FALSE,TRUE,05/28/14,06:10 PM,07:10 PM,FREE,BUSY
